movie_name,description,genre
Five Feet Apart,seventeenyearold stella spend time hospit cystic fibrosi patient life full routin boundari selfcontrol — get put test meet imposs charm teen ill there instant filtrat though restrict dictat must maintain safe distanc connect intensifi temptat throw rule window embrac attract,"Romance, Drama"
The Matrix,set 22nd centuri matrix tell stori comput hacker join group underground insurg fight vast power comput rule earth,"Action, Science Fiction"
Green Book,toni lip bouncer 1962 hire drive pianist shirley tour deep south day african american forc find altern accommod servic due segreg law masondixon line reli guid call negro motorist green book,"Drama, History"
Come and See,invas villag byelorussia german forc send young flora forest join weari resist fighter famili wish meet girl glass accompani back villag return home flora find famili fellow peasant massacr continu surviv amidst brutal debri war becom increasingli nightmar battl despair hope,"Drama, War"
Il Sorpasso,roberto shi law student rome meet bruno fortyyearold exuber caprici man take drive roman tuscani countri summer journey start blend daili life though pair ’ newfound friendship test,"Drama, Comedy, Adventure"
Mommy,peculiar neighbor offer hope recent widow struggl rais teenag unpredict sometim violent,Drama
Wolf Children,werewolf lover unexpectedli dy accid woman must find way rais son daughter howev inherit father trait prove challeng,"Animation, Family, Drama, Fantasy"
Gladiator,death emperor marcu aureu deviou son take power denot maximu one come capabl gener marcu prefer eventu maximu forc becom gladiat battl death men amus pay audienc,"Action, Drama, Adventure"
Justice League Dark: Apokolips War,earth decim intergalact tyrant darkr devast justic leagu poorli execut war dc super hero remain bastion good – justic leagu teen titan suicid squad assort other – must regroup strateg take war darkr order save planet surviv inhabit,"Animation, Action, Science Fiction, Adventure, Fantasy"
Saving Private Ryan,u troop storm beach normal three brother lie dead battlefield fourth trap behind enemi line ranger captain john miller seven men task penetr germanheld territori bring boy home,"Drama, History, War"
Wolfwalkers,time superstit magic wolf seen demon natur evil name young apprentic hunter come ireland father wipe last pack save wild nativ girl friendship lead discov world wolfwalk transform thing father task destroy,"Animation, Family, Adventure, Fantasy"
Evangelion: 3.0+1.0 Thrice Upon a Time,aftermath fourth impact strand without evangelist hindi ask rei find refug one rare pocket human still exist ruin planet earth life life far differ day evangelist pilot howev danger world far new impact loom horizon—on prove true end evangelist,"Animation, Action, Science Fiction, Drama"
Witness for the Prosecution,ail barrist agre defend man sensat murder trial unconvinc testimoni defend wife becom subject confus,"Drama, Mystery, Crime"
Inglourious Basterds,nazioccupi franc world war ii group jewishamerican soldier known master chosen specif spread fear throughout third reach scale brutal kill nazi master lead lt also rain soon cross path frenchjewish teenag girl run movi theater pari target soldier,"Drama, Thriller, War"
Woman in the Dunes,vacat entomologist suffer extrem physic psycholog trauma taken captiv resid poor seasid villag made live woman whose life task shorelin sand,"Drama, Thriller"
Puss in Boots: The Last Wish,pa boot discov passion adventur taken toll burn eight nine life leav one life left pa set epic journey find mythic last wish restor nine life,"Animation, Adventure, Fantasy, Comedy, Family"
Michael Jackson's Thriller,night movi turn nightmar michael date attack hord bloodythirsti zombi top success thriller album michael jackson electrifi perform town 25 short filmmus video thriller establish jackson intern superstar global phenomenon thriller credit transform music video seriou art form break racial barrier popular entertain popular make documentari format creat home video market success transform jackson domin forc global pop cultur 2009 becam first music video induct unit state nation film registri librari congress cultur histor aesthet signific thriller also jackson seventh final u hot 100 top 10 hit thriller album first album histori seven u top 10,"Horror, Music, Mystery"
TAYLOR SWIFT | THE ERAS TOUR,concert film document taylor swift recordbreak era tour 20232024 film lo angel show film captur tour ten act repres differ music era swift career film showcas 40 song elabor stage product swift perform,Music
Ultraman: Rising,star athlet reluctantli return home take father duti ultraman shield tokyo giant monster becom legendari hero,"Animation, Science Fiction, Family, Action"
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,janeiro kamal join insur hashibira boy rais board wear board head zenith agatsuma scare boy reveal true power sleep board infin train new mission fire hash kyojuro rengoku defeat demon comment peopl kill demon player oppos,"Animation, Action, Fantasy, Thriller"
The Shining,jack toler accept caretak job overlook hotel along wife wendi son danni must live isol rest world winter arent prepar mad lure within,"Horror, Thriller"
"The Boy, the Mole, the Fox and the Horse",unlik friendship boy mole fox hors travel togeth boy search home,"Animation, Family, Adventure, Fantasy"
The Help,aibileen clark middleag africanamerican maid spent life rais white child recent lost son mini jackson africanamerican maid often offend employ despit famili struggl money desper need job eugen skater plan young white woman recent move back home graduat colleg find childhood maid mysteri disappear three stori intertwin explain life jackson mississippi revolv around help yet alway kept certain distanc racial line,Drama
Star Wars,princess lia captur held hostag evil imperi forc effort take galact empir venturesom luke skywalk wash captain han solo team togeth movabl robot duo r2d2 c3po rescu beauti princess restor peac justic empir,"Adventure, Action, Science Fiction"
The Prestige,mysteri stori two magician whose intens rivalri lead lifelong battl supremaci full obsess deceit jealousi danger deadli consequ,"Drama, Mystery, Science Fiction"
The Art of Racing in the Rain,famili dog – nearhuman soul philosoph mind – evalu life lesson learn human owner racecar driver,"Drama, Romance"
Coco,despit famili ’ battl generationsold ban music miguel dream becom accomplish musician like idol ernest de la cruz desper prove talent miguel find stun color land dead follow mysteri chain event along way meet charm cricket hector togeth set extraordinari journey unlock real stori behind miguel famili histori,"Family, Animation, Music, Adventure"
The Handmaiden,1930 korea period japanes occup new girl look hire handmad japanes heiress video life seclud life larg countrysid estat domin uncl suzuki maid secret pickpocket recruit spindl pose japanes count help seduc ladi slope rob fortun lock madhous plan seem proceed accord plan look video discov unexpect emot,"Thriller, Drama, Romance"
Shutter Island,world war ii soldierturnedu marshal teddi daniel investig disappear patient hospit crimin insan effort compromis troubl vision mysteri doctor,"Drama, Thriller, Mystery"
My Mom Is a Character 3,herínia rediscoveri reinvent child form new famili superior deal new life scenario barcelona pregnant julian get marri,Comedy
The Apartment,bud batter minor clerk huge new york insur compani discov quick way climb corpor ladder lend apart execut place take mistress although often deal aftermath visit one night he left major problem solv,"Comedy, Drama, Romance"
Hacksaw Ridge,wwii american armi medic demand serv battl okinawa refus kill peopl becom first conscienti objector american histori receiv congression medal honor,"Drama, History, War"
Doctor Who: The Day of the Doctor,2013 someth terribl awaken london nation galleri 1562 murder plot foot elizabeth england somewher space ancient battl reach devast conclus realiti stake doctor danger past come back haunt,"Science Fiction, Adventure"
Maquia: When the Promised Flower Blooms,maria member special race call morph live hundr year howev maria alway felt lone despit surround peopl orphan young age daydream outsid world dare travel home due warn clan chief one day kingdom mezart invad homeland alreadi left giant dragon senat control king wish add immort bloodlin savag morph homeland kill inhabit caught midst attack maria carri one senat soon dy left desert forest truli alon save cri singl babi distanc maria find babi destroy villag decid rais name ariel although know noth human world rais child age much faster,"Animation, Fantasy, Drama, Adventure"
A Clockwork Orange,nearfutur britain young alexand larg pal get kick beat rape anyon pleas destroy life other alex spoon music beethoven state eager crack juvenil crime give incarcer alex option undergo invas procedur rob person agenc time conscienc commod alex chang tune,"Science Fiction, Crime"
Django Unchained,help german bounti hunter freed slave set rescu wife brutal mississippi plantat owner,"Drama, Western"
The Seventh Seal,disillus swedish knight antonio block return home crusad find countri grip black death challeng death chess match life torment belief god exist block set journey meet travel player wife mia becom determin evad death long enough commit one redempt act still life,"Fantasy, Drama"
Bicycle Thieves,unemploy antonio relat final find work hang poster around cartoon rome howev first day bicycle—essenti work—get stolen job doom unless find thief help son antonio comb citi becom desper justic,Drama
Memento,leonard shell track man rape murder wife difficulti locat wife killer howev compound fact suffer rare unread form shorter memori loss although recal detail life accid leonard rememb happen fifteen minut ago he go,"Mystery, Thriller"
Investigation of a Citizen Above Suspicion,rome itali commit venou crime senior polic offic expos evid incrimin moral commit prevent circumv law social order protect,"Drama, Thriller"
20th Century Girl,1999 teen girl keep close tab boy school behalf deepli smitten best friend – get swept love stori,"Romance, Drama"
The Usual Suspects,held la interrog room verbal kind attempt convinc fed mythic crime lord key size exist also respons draw four partner multimillion dollar heist end explos san pedro harbor – leav survivor verbal lure interrog incred stori crime lord almost supernatur prowess,"Drama, Crime, Thriller"
Steven Universe: The Movie,two year bring peac galaxi steven univers see past come back haunt form derang gem want destroy earth,"TV Movie, Adventure, Animation, Comedy, Fantasy, Music, Science Fiction, Action, Drama"
Top Gun: Maverick,thirti year servic one navi ’ top aviat dodg advanc rank would ground pete “ maverick ” mitchel find train detach top gun graduat special mission like live pilot ever seen,"Action, Drama"
Tokyo Story,elderli shukishi wife tomb take long journey small seasid villag visit adult child tokyo elder son kochi doctor daughter shire hairdress dont much time spend age parent fall nowiki widow younger son kill war keep law compani,Drama
Alien,return earth commerci spaceship nostromo intercept distress signal distant planet threememb team crew discov chamber contain thousand egg planet creatur insid one egg attack explor entir crew unawar impend nightmar set descend upon alien parasit plant insid unfortun host birth,"Horror, Science Fiction"
The Departed,take south boston irish mafia polic send one infiltr underworld realiz syndic done likewis undercov cop carri favor mob kingpin career crimin rise polic rank side soon discov there mole among,"Drama, Thriller, Crime"
Vertigo,retir san francisco detect suffer acrophobia investig strang activ old friend wife becom danger obsess,"Mystery, Romance, Thriller"
Scarface,get green card exchang assassin cuban govern offici toni montana stake claim drug trade miami various murder anyon stand way toni eventu becom biggest drug lord state control nearli cocain come miami increas pressur polic war colombia drug cartel drugfuel paranoia serv fuel flame eventu downfal,"Action, Crime, Drama"
Good Will Hunting,headston yet harmless hunt geniuslevel iq choos work janitor mit secretli solv highli difficult graduatelevel math problem talent discov professor gerald lambda decid help misguid youth reach potenti arrest attack polic offic professor lambda make deal get lenienc get courtord therapi eventu therapist dr sean matur help confront demon hold back,Drama
Innocent Voices,young boy attempt normal childhood 1980 el salvador caught dramat fight life desper tri avoid war rage around,"Drama, War"
